Description,Specification,Ratings,Price,Original_price,Discount,Reviews
"MSI Bravo 15 AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX6550M/144 Hz) Bravo 15 B7ED-012IN Gaming Laptop  (15.6 inch, Black, 2.35 Kg)","[['Sales Package', 'Laptop, battery, power adapter, user guide'], ['Model Number', 'Bravo 15 B7ED-012IN'], ['Part Number', '9S7-158P11-012'], ['Model Name', 'Bravo 15 B7ED-012IN'], ['Series', 'Bravo 15'], ['Color', 'Black'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['MS Office Provided', 'No']]","['4.6', '4.6', '4.2']","['₹49,990']","['₹67,990']",['26% off'],"['5 Ratings & 1 Reviews', '(5)', '(948)']"
"APPLE 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A  (13.3 inch, Silver, 1.29 kg)","[['Sales Package', 'MacBook Air, 30 W USB-C Power Adapter, USB-C Charge Cable (2m), User Guide, Warranty Documents'], ['Model Number', 'MGN93HN/A'], ['Part Number', 'MGN93HN/A'], ['Series', '2020 Macbook Air'], ['Color', 'Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 15 Hours'], ['Power Supply', '30 W AC Adapter'], ['MS Office Provided', 'No']]","['4.7', '4.7', '4', '4.6']","['₹70,990']","['₹99,900']",['28% off'],"['12,453 Ratings & 1,045 Reviews', '(12,453)', '(73)', '(2,975)']"
"APPLE 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A  (13.3 inch, Gold, 1.29 kg)","[['Sales Package', 'MacBook Air, 30 W USB-C Power Adapter, USB-C Charge Cable (2m), User Guide, Warranty Documents'], ['Model Number', 'MGND3HN/A'], ['Part Number', 'MGND3HN/A'], ['Series', '2020 Macbook Air'], ['Color', 'Gold'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 15 Hours'], ['Power Supply', '30 W AC Adapter'], ['MS Office Provided', 'No']]","['4.7', '4.7', '4.3', '4.6']","['₹70,990']","['₹99,900']",['28% off'],"['12,453 Ratings & 1,045 Reviews', '(12,453)', '(384)', '(2,975)']"
"ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)","[['Sales Package', 'Laptop, Battery, Adapter, Cables and User Manuals'], ['Model Number', 'X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS'], ['Part Number', '90NB0TY2-M00JK0 | 90NB0TY2-M047X0 | 90NB0TY6-M03EL0'], ['Model Name', 'X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS'], ['Series', 'Vivobook 15'], ['Color', 'Transparent Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '2 Cell'], ['MS Office Provided', 'Yes']]","['4.3', '4.3', '4', '4']","['₹29,990']","['₹49,990']",['40% off'],"['7,186 Ratings & 642 Reviews', '(7,186)', '(68)', '(3,161)']"
"SAMSUNG Galaxy Book2 Pro EVO AMOLED Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) NP930XED-KB3IN Thin and Light Laptop  (13.3 Inch, Silver, 0.87 Kg, With MS Office)","[['Sales Package', 'Laptop, Adapter, Cable'], ['Model Number', 'NP930XED-KB3IN'], ['Part Number', 'NP930XED-KB3IN'], ['Model Name', 'Galaxy Book2 Pro'], ['Series', 'Galaxy Book2 Pro EVO AMOLED'], ['Color', 'Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['MS Office Provided', 'Yes']]","['4.5', '4.5', '4', '4.1']","['₹64,990']","['₹1,29,990']",['50% off'],"['925 Ratings & 145 Reviews', '(925)', '(8)', '(304)']"
"CHUWI Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop  (14 inch, Grey, 1.40 kg)","[['Sales Package', 'Laptop, Charger, User Guide Manual'], ['Model Number', 'CoreBook X Grey'], ['Part Number', 'CWI575'], ['Model Name', 'CoreBook X'], ['Color', 'Grey'], ['Type', 'Laptop'], ['Suitable For', 'Entertainment, Everyday Use, Learning, Processing & Multitasking, Travel & Business'], ['Battery Backup', 'Up To 8 Hours'], ['Power Supply', '65 W AC Adapter'], ['MS Office Provided', 'No'], ['Inbuilt 4G LTE', 'No'], ['Stylus Included', 'No']]","['4.1', '4.1', '3.9', '4.1']","['₹24,990']","['₹49,990']",['50% off'],"['840 Ratings & 153 Reviews', '(840)', '(2,500)', '(256)']"
"Lenovo Yoga Slim 6 Intel Evo Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) 14IAP8 Thin and Light Laptop  (14 inch, Storm Grey, 1.35 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '14IAP8'], ['Part Number', '82WU0095IN'], ['Model Name', '14IAP8'], ['Series', 'Yoga Slim 6 Intel Evo'], ['Color', 'Storm Grey'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['MS Office Provided', 'Yes']]","['4.2', '4.2', '4.1', '4.4']","['₹65,190']","['₹78,590']",['17% off'],"['639 Ratings & 99 Reviews', '(639)', '(241)', '(31,570)']"
"ASUS Vivobook 15 Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)","[['Sales Package', 'Laptop, Battery, Adapter, Cables and User Manuals'], ['Model Number', 'X515EA-EJ522WS'], ['Part Number', '90NB0TY2-M00JP0'], ['Model Name', 'X515EA-EJ522WS'], ['Series', 'Vivobook 15'], ['Color', 'Transparent Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '2 Cell'], ['MS Office Provided', 'Yes']]","['4.3', '4.3', '4', '4']","['₹39,990']","['₹69,990']",['42% off'],"['6,912 Ratings & 507 Reviews', '(6,912)', '(68)', '(2,579)']"
"ASUS Vivobook S 14 Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY542WS Thin and Light Laptop  (14 inch, Indie Black, 1.50 Kg)","[['Sales Package', 'Laptop, battery, power adapter, user guide'], ['Model Number', 'S3402ZA-LY542WS'], ['Part Number', '90NB0WE2-M00P50'], ['Model Name', 'S3402ZA-LY542WS'], ['Series', 'Vivobook S 14 Intel EVO H-Series'], ['Color', 'Indie Black'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '3 cell'], ['MS Office Provided', 'No']]","['4.3', '4.3', '4.4']","['₹59,990']","['₹86,990']",['31% off'],"['1,513 Ratings & 168 Reviews', '(1,513)', '(3,867)']"
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15ACH6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 Kg)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15ACH6'], ['Part Number', '82K20289IN'], ['Model Name', '15ACH6'], ['Series', 'IdeaPad Gaming 3'], ['Color', 'Shadow Black'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['MS Office Provided', 'No']]","['3.7', '3.7', '4.1', '3.8']","['₹47,990']","['₹77,990']",['38% off'],"['7 Ratings & 1 Reviews', '(7)', '(237)', '(81)']"
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.63 kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15IAU7'], ['Part Number', '82RK00XDIN'], ['Model Name', '15IAU7'], ['Series', 'IdeaPad Slim 3'], ['Color', 'Arctic Grey'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Power Supply', '65W Round Tip (3 Pin)'], ['MS Office Provided', 'Yes']]","['4.1', '4.1', '4', '4']","['₹32,990']","['₹50,290']",['34% off'],"['839 Ratings & 57 Reviews', '(839)', '(73)', '(3,956)']"
"HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)","[['Sales Package', 'Laptop, Battery, Adapter, Cables, User Manuals'], ['Model Number', '15s-fq5007TU'], ['Part Number', '67V50PA#ACJ'], ['Model Name', '15s-fq5007TU'], ['Series', '15s'], ['Color', 'Natural Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'Yes']]","['4.2', '4.2', '3.9', '4.2']","['₹37,999']","['₹56,261']",['32% off'],"['2,698 Ratings & 296 Reviews', '(2,698)', '(5,026)', '(1,791)']"
"ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 Kg)",[],"['4.2', '4.2', '4', '4.2']","['₹27,990']","['₹44,990']",['37% off'],"['633 Ratings & 54 Reviews', '(633)', '(73)', '(1,791)']"
"ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz/70 TGP) FX506HF-HN075W Gaming Laptop  (15.6 Inch, Graphite Black, 2.30 kg)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'FX506HF-HN075W'], ['Part Number', '90NR0HB4-M008F0'], ['Model Name', 'Gaming F15'], ['Series', 'TUF Gaming F15 - AI Powered Gaming'], ['Color', 'Graphite Black'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Power Supply', '150W AC Adapter'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'No'], ['TGP', '70 TGP']]","['4.3', '4.3', '4.2', '4.5']","['₹47,990']","['₹75,990']",['36% off'],"['2,819 Ratings & 279 Reviews', '(2,819)', '(2,086)', '(4,596)']"
"HP 14s Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)",[],"['4.3', '4.3', '4.2', '4']","['₹34,990']","['₹49,509']",['29% off'],"['11,423 Ratings & 897 Reviews', '(11,423)', '(8,869)', '(80)']"
"Lenovo IdeaPad Slim 1 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and Light Laptop  (15.6 inch, Cloud Grey, 1.58 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15AMN7'], ['Part Number', '82VG009MIN|82VG00EVIN/ 82VG00JJIN'], ['Model Name', '15AMN7'], ['Series', 'IdeaPad Slim 1'], ['Color', 'Cloud Grey'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto to 9.86 Hours'], ['MS Office Provided', 'Yes']]","['4', '4']","['₹33,990']","['₹64,090']",['46% off'],"['(73)', '(3,956)']"
"Lenovo IdeaPad Slim1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ACL7 Thin and Light Laptop  (39.62 cm, Cloud Grey, 1.65 kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15ACL6 | 15ACL7'], ['Part Number', '82R400BRIN'], ['Model Name', '15ALC6'], ['Series', 'IdeaPad Slim1'], ['Color', 'Cloud Grey'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 11 hours'], ['MS Office Provided', 'Yes']]","['4.2', '4.2', '3.8', '4.1']","['₹35,990']","['₹57,890']",['37% off'],"['3,424 Ratings & 360 Reviews', '(3,424)', '(3,452)', '(49,827)']"
"MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin and Light Laptop  (14 Inch, Urban Silver, 1.4 Kg)","[['Sales Package', 'Laptop, Power adapter'], ['Model Number', 'Modern 14 C7M-063IN'], ['Part Number', '9S7-14JK11-063'], ['Model Name', 'Modern 14 C7M-063IN'], ['Series', 'Modern 14'], ['Color', 'Urban Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking, Entertainment'], ['Power Supply', '65W adapter'], ['Battery Cell', '3 cell'], ['MS Office Provided', 'No']]",['4.4'],"['₹33,990']","['₹61,990']",['45% off'],['713 Ratings & 100 Reviews']
"ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM702WS Thin and Light Laptop  (14 inch, Indie Black, 1.50 kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, Battery, Warranty Documents, User Guide'], ['Model Number', 'S3402ZA-KM702WS'], ['Part Number', '90NB0WE2-M007X0'], ['Model Name', 'S3402ZA-KM702WS'], ['Series', 'Vivobook S14 OLED Intel EVO H-Series'], ['Color', 'Indie Black'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Power Supply', '90 W AC Adapter'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'Yes']]","['4.2', '4.2', '4.5']","['₹74,990']","['₹1,16,990']",['35% off'],"['133 Ratings & 21 Reviews', '(133)', '(69)']"
"Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Laptop  (15.6 Inch, Arctic Grey, 1.63 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15IAU7'], ['Part Number', '82RK0062IN|82RK00EDIN'], ['Model Name', '15IAU7'], ['Series', 'IdeaPad Slim 3'], ['Color', 'Arctic Grey'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Power Supply', '65W Round Tip (3-pin)'], ['MS Office Provided', 'Yes']]","['4.2', '4.2', '4.4', '4']","['₹48,990']","['₹76,890']",['36% off'],"['1,368 Ratings & 119 Reviews', '(1,368)', '(889)', '(3,956)']"
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light Laptop  (15.6 Inch, Cloud Grey, 1.65 kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, Quick Start Guide, Warranty Document'], ['Model Number', '15ALC7'], ['Part Number', '82R400ERIN/82KU0238IN'], ['Model Name', 'IdeaPad 3'], ['Series', 'IdeaPad Slim 1'], ['Color', 'Cloud Grey'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 9.0 Hour'], ['Power Supply', '65W Round Tip (2 Pin, Wall Mount)'], ['MS Office Provided', 'Yes']]","['4.2', '4.2', '4', '4.2']","['₹41,190']","['₹58,390']",['29% off'],"['3,424 Ratings & 360 Reviews', '(3,424)', '(3,956)', '(1,791)']"
"SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) NP550 Thin and Light Laptop  (15.6 Inch, Graphite, 1.80 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'NP550'], ['Part Number', 'NP550XED-KA1IN'], ['Model Name', 'NP550'], ['Series', 'Galaxy Book 2'], ['Color', 'Graphite'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 6 hrs'], ['MS Office Provided', 'Yes']]","['4.3', '4.3', '3.7', '4.5']","['₹44,990']","['₹82,990']",['45% off'],"['1,804 Ratings & 180 Reviews', '(1,804)', '(71)', '(6,268)']"
"DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop  (38 cm, Carbon Black, 1.65 Kg, With MS Office)","[['Sales Package', 'Laptop, battery, adapter, cables and user manuals'], ['Model Number', 'New Inspiron 15 Laptop'], ['Part Number', 'D560896WIN9B'], ['Model Name', 'Inspiron 3520'], ['Color', 'Carbon Black'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 7 hours'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'Yes']]","['4.2', '4.2', '3.9', '3.9']","['₹34,990']","['₹49,683']",['29% off'],"['937 Ratings & 119 Reviews', '(937)', '(2,662)', '(1,250)']"
"Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Laptop  (15.6 Inch, Iron Grey, 1.7 Kg)","[['Sales Package', 'Laptop, User manual, Adapter'], ['Model Number', 'V15 G3 IAP'], ['Part Number', '82TTA08AIN'], ['Model Name', 'V15 G3 IAP'], ['Color', 'Iron Grey'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 5.3 Hours'], ['Battery Cell', '2 Cell'], ['MS Office Provided', 'No']]","['4', '4', '4', '4']","['₹49,990']","['₹90,000']",['44% off'],"['783 Ratings & 72 Reviews', '(783)', '(3,956)', '(73)']"
"HP AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) fq1089au Thin and Light Laptop  (14 Inch, Natural Silver, 1.46 Kg kg, With MS Office)","[['Sales Package', 'Laptop, Power Adapter, User Guide, Warranty Documents'], ['Model Number', 'fq1089au'], ['Part Number', '50M59PA#ACJ'], ['Model Name', '14s-fq1089au'], ['Color', 'Natural Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Up to 9 hours and 45 minutes'], ['Power Supply', '65 W Smart AC power adapter'], ['Battery Cell', '3'], ['MS Office Provided', 'Yes']]","['4.3', '4.3', '4.1', '4.1']","['₹32,999']","['₹47,716']",['30% off'],"['3,260 Ratings & 393 Reviews', '(3,260)', '(575)', '(49,827)']"
"Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15IRH8 Gaming Laptop  (15.6 inch, Storm Grey, 2.4 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15IRH8'], ['Part Number', '82XV00F4IN'], ['Model Name', '15IRH8'], ['Series', 'LOQ'], ['Color', 'Storm Grey'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Battery Backup', 'Up to 6 hrs'], ['MS Office Provided', 'Yes']]","['4.1', '4.1', '4.3', '3.8']","['₹64,990']","['₹99,290']",['34% off'],"['103 Ratings & 10 Reviews', '(103)', '(27)', '(81)']"
"Lenovo LOQ Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060) 15IRH8 Gaming Laptop  (15.6 Inch, Storm Grey, 2.4 kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15IRH8'], ['Part Number', '82XV00BRIN'], ['Model Name', '15IRH8'], ['Series', 'LOQ'], ['Color', 'Storm Grey'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Everyday Use, Gaming, Processing & Multitasking'], ['Battery Backup', 'Upto 5.32 Hours'], ['Power Supply', '170W Slim Tip Adapter (3 Pin)'], ['MS Office Provided', 'Yes']]","['4.3', '4.3', '3.8', '4.5']","['₹1,07,990']","['₹1,53,890']",['29% off'],"['84 Ratings & 12 Reviews', '(84)', '(137)', '(6,268)']"
"HP Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 250 G8 Thin and Light Laptop  (15.6 inch, Dark Ash, 2.0 Kg)","[['Sales Package', 'Laptop, AC Adapter, User Guide, Manuals'], ['Model Number', '250 G8'], ['Part Number', '6X4B3PA'], ['Model Name', '250 G8'], ['Color', 'Dark Ash'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 4 Hrs'], ['MS Office Provided', 'No']]","['4.2', '4.2', '3.9', '4.2']","['₹31,980']","['₹44,253']",['27% off'],"['588 Ratings & 48 Reviews', '(588)', '(2,500)', '(8,869)']"
"ASUS Vivobook Go 15 (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Thin and Light Laptop  (15.6 Inch, Cool Silver, 1.63 Kg, With MS Office)","[['Sales Package', 'Laptop, battery, power adapter, user guide'], ['Model Number', 'E1504FA-NJ321WS'], ['Part Number', '90NB0ZR1-M00AE0'], ['Model Name', 'E1504FA-NJ321WS'], ['Series', 'Vivobook Go 15 (2023)'], ['Color', 'Cool Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '3 cell'], ['MS Office Provided', 'Yes']]","['4.2', '4.2', '3.9', '4.2']","['₹33,990']","['₹50,990']",['33% off'],"['2,769 Ratings & 330 Reviews', '(2,769)', '(2,662)', '(1,791)']"
"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 11300H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15IHU6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 kg)","[['Sales Package', 'Laptop, Battery, Adapter, Cables, User Manuals'], ['Model Number', '15IHU6'], ['Part Number', '82K101GSIN/82K101KGIN'], ['Model Name', 'Gaming 3'], ['Series', 'IdeaPad Gaming 3'], ['Color', 'Shadow Black'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Battery Backup', 'Upto 8 Hours'], ['Power Supply', '135W Slim Tip (3-Pin)'], ['MS Office Provided', 'No']]","['4.3', '4.3', '4', '4.6']","['₹47,990']","['₹73,490']",['34% off'],"['4,958 Ratings & 452 Reviews', '(4,958)', '(73)', '(841)']"
"ASUS ROG Strix G15 (2022) AMD Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 3050/144 Hz) G513RC-HN083W Gaming Laptop  (15.6 Inch, Eclipse Gray, 2.10 Kg)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'G513RC-HN083W'], ['Part Number', '90NR08A5-M00430'], ['Model Name', 'G513RC-HN083W'], ['Series', 'ROG Strix G15 (2022)'], ['Color', 'Eclipse Gray'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Power Supply', '200W AC Adapter'], ['Battery Cell', '4'], ['MS Office Provided', 'No']]","['4.3', '4.3', '4', '4.4']","['₹81,990']","['₹1,35,990']",['39% off'],"['403 Ratings & 47 Reviews', '(403)', '(325)', '(31,570)']"
"DELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.65 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'New Inspiron 15 Laptop'], ['Part Number', 'D560865WIN9B'], ['Model Name', 'New Inspiron 15 Laptop'], ['Color', 'Carbon Black'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 7 hours'], ['MS Office Provided', 'Yes']]","['3.8', '3.8', '3.9']","['₹46,699']","['₹68,790']",['32% off'],"['9 Ratings & 0 Reviews', '(9)', '(2,662)']"
"Infinix ZEROBOOK 13 Intel Intel Core i9 13th Gen 13900H - (32 GB/1 TB SSD/Windows 11 Home) ZL513 Thin and Light Laptop  (15.6 inch, Grey With Meteorite Phase Design, 1.80 Kg, With MS Office)","[['Sales Package', '1 Laptop :: 1 Power Adaptor:: 1 User Guide:: 1 Warranty Documents'], ['Model Number', 'ZL513'], ['Part Number', '71008301263'], ['Model Name', 'ZL513'], ['Series', 'ZEROBOOK 13 Intel'], ['Color', 'Grey With Meteorite Phase Design'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 10 Hours'], ['MS Office Provided', 'Yes']]","['4.1', '4.1', '4.1', '4']","['₹59,990']","['₹1,49,900']",['59% off'],"['376 Ratings & 66 Reviews', '(376)', '(241)', '(290)']"
"HP 2023 Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15s-fr4001TU'], ['Part Number', '7J3Z3PA#ACJ'], ['Model Name', '15s-fr4001TU'], ['Series', '2023'], ['Color', 'Natural Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'Yes']]","['4.3', '4.3', '3.9', '3.9']","['₹52,590']","['₹59,327']",['11% off'],"['3,322 Ratings & 247 Reviews', '(3,322)', '(5,026)', '(358)']"
"Acer Aspire 3 15 Intel Core i3 13th Gen N305 - (8 GB/256 GB SSD/Windows 11 Home) A315-510P Thin and Light Laptop  (15.6 inch, Silver, 1.7 Kg)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'A315-510P'], ['Part Number', 'NX.KDHSI.006'], ['Model Name', 'A315-510P'], ['Series', 'Aspire 3 15'], ['Color', 'Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'No']]","['4.1', '4.1', '3.9', '3.9']","['₹29,980']","['₹41,999']",['28% off'],"['7 Ratings & 1 Reviews', '(7)', '(2,662)', '(358)']"
